i,qC = 300 then qV = 200
288,10.502439705838947
289,10.502439705838947
290,10.502439705838947
291,10.502439705838947
292,10.502439705838947
293,10.502439705838947
294,10.502439705838947
295,10.502439705838947
296,10.502439705838947
297,10.502439705838947
298,10.502439705838947
299,10.502439705838947
300,10.502439705838947
301,10.502439705838947
302,10.502439705838947
303,10.502439705838947
304,10.502439705838947
305,10.502439705838947
306,10.502439705838947
307,10.502439705838947
308,10.502439705838947
309,10.502439705838947
310,10.502439705838942
311,10.502439705838945
312,10.502439705838947
313,10.502439705838947
314,10.502439705838947
315,10.502439705838947
316,10.502439705838947
317,10.502439705838947
318,10.502439705838947
319,10.502439705838947
320,10.502439705838947
321,10.502439705838947
322,10.502439705838947
323,10.502439705838947
324,10.502439705838945
325,10.502439705838947
326,10.502439705838947
327,10.502439705838947
