i,nbQst = 500
191,17.024487019907387
192,17.014210170157327
193,17.003647217230977
194,16.929226081552766
195,16.91903390673368
196,16.876083106163513
197,16.8625557372999
198,16.841801292271327
199,16.817775396476208
200,16.783009229585137
201,16.769759601707428
202,16.755662349353315
203,16.715228942855788
204,16.712885041981135
205,16.690640771362542
206,16.690483200600056
207,16.648004453034645
208,16.635841209067625
209,16.615811505896154
210,16.56448343485283
211,16.549871144272544
212,16.47569459829879
213,16.439515547192602
214,16.393164906636958
215,16.392003893083473
216,16.360444088366346
217,16.32422118265179
218,16.299910513599144
219,16.293620963243292
220,16.282600665780578
221,16.279775229959988
222,16.260939766537795
223,16.248836328118113
224,16.243763582635005
225,16.23571554021647
226,16.20860635684855
227,16.206625325939388
228,16.192341313652182
229,16.160054508413506
230,16.124026362949525
231,16.11669728552399
232,16.094795012959807
233,16.081900140576167
234,16.06474746516417
235,16.05680717693909
236,16.032855795604267
237,16.023690789056836
238,16.01732957978866
239,16.00274387093318
240,15.979141726053568
241,15.975849463914887
242,15.889841751762269
243,15.78452888151589
244,15.77229904738869
245,15.76891073802027
246,15.76853968243703
247,15.74859683058115
248,15.706755640922303
249,15.686747311072725
250,15.642902253769387
251,15.607551235856254
252,15.600093059774007
253,15.570661505193176
254,15.527387593553286
255,15.474842970967483
256,15.453544852039768
257,15.433880810008972
258,15.405329962451047
259,15.35201626722796
260,15.335380593593909
261,15.311190813908388
262,15.301292421373864
263,15.273985201947394
264,15.253149266301978
265,15.239338816734262
266,15.23161524907193
267,15.21763199740105
268,15.208407482443526
269,15.198199851993728
270,15.16643146857263
271,15.159541830575238
272,15.153524965335018
273,15.142030975769543
274,15.107097877918607
275,15.087544881495749
276,15.06850987416113
277,15.043305379023014
278,15.023823376383637
279,15.023817439873042
280,15.019211073570442
281,15.011802603469993
282,14.949132976307748
283,14.943425536601813
284,14.932565690993233
285,14.883473155402312
286,14.871217110588555
287,14.859586622477778
288,14.820110142369444
289,14.804975195130494
290,14.794449812413832
291,14.75475340107104
292,14.744430494492931
293,14.68726877449337
294,14.665540967276145
295,14.657724865257448
296,14.622595139655937
297,14.59913123362828
298,14.57754671332858
299,14.555338618259224
300,14.537603104093614
301,14.461121320632067
302,14.459176437675064
303,14.411537996294188
304,14.371734111308271
305,14.37126175297261
306,14.348129987925017
307,14.320175856804715
308,14.269407493153665
309,14.268684686393224
310,14.254528595806974
311,14.20090503238265
312,14.185801031747605
313,14.156120416178902
314,14.121585339228805
315,14.11847578262308
316,14.11362798332781
317,14.109775667748133
318,14.093911128750522
319,14.068107754255545
320,14.02905414240483
321,13.998310135984173
322,13.977322343597315
323,13.947209325261724
324,13.930179139041487
325,13.927188326057214
326,13.883593595851606
327,13.869411684040706
328,13.840369871415373
329,13.772286908108383
330,13.742102459314944
331,13.719780185120106
332,13.68720762248945
333,13.589526502524414
334,13.557221202684403
335,13.540492052992766
336,13.48782572652183
337,13.477176879059781
338,13.469339254264748
339,13.412939337628844
340,13.371204954095065
341,13.35690553163834
342,13.309837031084074
343,13.294696441696964
344,13.237636240800736
345,13.228918366603285
346,13.178092936241207
347,13.155099228462738
348,13.093600087785427
349,13.064683988983413
350,13.059695922060754
351,13.052185733457113
352,13.008637587463083
353,13.003070444761518
354,12.994430925103098
355,12.976256164855165
356,12.952963404576522
357,12.936739286101838
358,12.91697033196187
359,12.90270140557847
360,12.895477960604621
361,12.887971642664239
362,12.838967070854018
363,12.836567342607378
364,12.815910561891029
365,12.768055552906112
366,12.76369797131713
367,12.73321093481209
368,12.711865748991144
369,12.693959936101251
370,12.63683040462337
371,12.61565080214155
372,12.615644038606206
373,12.578901632956178
374,12.56587735665432
375,12.560591798144053
376,12.555516250854179
377,12.543900229633687
378,12.541377418107546
379,12.54137539249964
380,12.529373463070216
381,12.52274936652831
382,12.497531340864931
383,12.49751134495084
384,12.48887404050059
385,12.475031584550184
386,12.463912618406301
387,12.463551956129479
388,12.453638932202264
389,12.439500114889167
390,12.424813602341805
391,12.40742183698707
392,12.399605069975651
393,12.3845873225348
394,12.360214710322373
395,12.360213503229511
396,12.288275919596506
397,12.264115564661202
398,12.238875054478193
399,12.181537022658183
400,12.168928705347366
401,12.159386272646646
402,12.152005712391365
403,12.105295404041206
404,12.071550515038744
405,12.066480619155435
406,12.00272074657705
407,11.980568245824664
408,11.957666061075914
409,11.92785609768184
410,11.907350435621895
411,11.90532639783037
412,11.894023077155445
413,11.84596676131762
414,11.838302221165698
415,11.803404233103715
416,11.748097103422293
417,11.744593762580166
418,11.728889256282224
419,11.71866743397828
420,11.718667330405992
421,11.688117864111325
422,11.618759520687012
423,11.54810991047194
424,11.52296438165624
425,11.493089662324047
426,11.47301009021424
427,11.420859076439724
428,11.348765113763438
429,11.332988461131942
430,11.317492370490209
431,11.293999336031819
432,11.276399563613433
